id_produit;nom_produit;description_produit;prix_produit;image_produit
1;lottery;once towards perfume;16593.66;saddle inasmuch as
2;court;provided;804.09;deter voice likely
3;source cicada;when eviscerate;1624.54;though eventually
4;tut reclassify;provided perform anti;14363.29;aside
5;slowly besides;huzzah;20931.03;wide-eyed
6;indeed mammoth;given yuck;9291.27;outpace midst for
7;simplistic;toward wonderfully;20191.76;waitress extremely
8;learn;like weapon insure;13565.34;dearest quickly
9;wedding;rankle scaly below;32242.17;oboe
10;behind possible inferior;mammoth valiantly strictly;24224.78;showy demarcate
